id,naslov,leto,leto-zacetek,leto-konec,zasluzek,glasovi,dolzina,metascore,oznaka,opis,ocena,igralci,zanri
4695012,It Comes at Night,2017,2017,2017,13985117,89383,91,78,R,"Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",6.2,"[{'id': 249291, 'ime': 'Joel Edgerton'}, {'id': 3571592, 'ime': 'Christopher Abbott'}, {'id': 252238, 'ime': 'Carmen Ejogo'}, {'id': 2142336, 'ime': 'Riley Keough'}]","['Horror', 'Mystery', 'Sci-Fi']"
2788432,American Crime Story,2016–,2016,2022,,89339,42,,,An anthology series centered around America's most notorious crimes and criminals.,8.4,"[{'id': 5299, 'ime': 'Sarah Paulson'}, {'id': 2807560, 'ime': 'Annaleigh Ashford'}, {'id': 1250791, 'ime': 'Sterling K. Brown'}, {'id': 158846, 'ime': 'Kenneth Choi'}]","['Biography', 'Crime', 'Drama']"
1293847,XXX: reaktiviran,2017,2017,2017,44898413,89301,107,42,PG-13,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",5.2,"[{'id': 4874, 'ime': 'Vin Diesel'}, {'id': 947447, 'ime': 'Donnie Yen'}, {'id': 2138653, 'ime': 'Deepika Padukone'}, {'id': 6806246, 'ime': 'Kris Wu'}]","['Action', 'Adventure', 'Thriller']"
4287320,V mreži,2017,2017,2017,20497844,89142,110,43,PG-13,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",5.4,"[{'id': 914612, 'ime': 'Emma Watson'}, {'id': 158, 'ime': 'Tom Hanks'}, {'id': 3915784, 'ime': 'John Boyega'}, {'id': 1294664, 'ime': 'Ellar Coltrane'}]","['Drama', 'Sci-Fi', 'Thriller']"
2592614,Nevidno zlo: zadnje poglavje,2016,2016,2016,26830068,89127,107,49,R,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",5.5,"[{'id': 170, 'ime': 'Milla Jovovich'}, {'id': 322513, 'ime': 'Iain Glen'}, {'id': 5123, 'ime': 'Ali Larter'}, {'id': 731575, 'ime': 'Shawn Roberts'}]","['Action', 'Horror', 'Sci-Fi']"
499556,War,2007,2007,2007,22486409,89033,103,36,R,"An FBI Agent seeks vengeance on a mysterious assassin known as ""Rogue"" who murdered his partner.",6.2,"[{'id': 1472, 'ime': 'Jet Li'}, {'id': 5458, 'ime': 'Jason Statham'}, {'id': 1229204, 'ime': 'Nadine Velazquez'}, {'id': 518821, 'ime': 'John Lone'}]","['Action', 'Crime', 'Thriller']"
363589,Elephant,2003,2003,2003,1227000,88939,81,70,R,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent.,7.2,"[{'id': 1371432, 'ime': 'Elias McConnell'}, {'id': 1372713, 'ime': 'Alex Frost'}, {'id': 1370494, 'ime': 'Eric Deulen'}, {'id': 1440281, 'ime': 'John Robinson'}]","['Crime', 'Drama', 'Thriller']"
82406,The Fox and the Hound,1981,1981,1981,63456988,88928,83,65,,"A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.",7.3,"[{'id': 1682, 'ime': 'Mickey Rooney'}, {'id': 621, 'ime': 'Kurt Russell'}, {'id': 47440, 'ime': 'Pearl Bailey'}, {'id': 16776, 'ime': 'Jack Albertson'}]","['Animation', 'Adventure', 'Drama']"
284837,Ali G Indahouse,2002,2002,2002,,88914,85,46,R,"Ali G unwittingly becomes a pawn in the Chancellor's plot to overthrow the Prime Minister of Great Britain. However, Ali is embraced by the nation as a voice of the youth, making the PM and his government more popular than ever.",6.3,"[{'id': 56187, 'ime': 'Sacha Baron Cohen'}, {'id': 729256, 'ime': 'Emilio Rivera'}, {'id': 478834, 'ime': 'Gina La Piana'}, {'id': 1169988, 'ime': 'Dana de Celis'}]",['Comedy']
1564585,Skyline,2010,2010,2010,21371425,88870,92,26,PG-13,"Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.",4.4,"[{'id': 50156, 'ime': 'Eric Balfour'}, {'id': 265668, 'ime': 'Donald Faison'}, {'id': 2174090, 'ime': 'Scottie Thompson'}, {'id': 199590, 'ime': 'Brittany Daniel'}]","['Action', 'Sci-Fi', 'Thriller']"
