film,oseba,vloga,mesto
53137,60,I,1
53137,1257,I,2
53137,1,I,3
53137,578,I,4
53198,529543,I,1
53198,753716,I,2
53198,561158,I,3
53198,213948,I,4
53285,182250,I,1
53285,794301,I,2
53285,41598,I,3
53285,271658,I,4
53459,105482,I,1
53459,885098,I,2
53459,562831,I,3
53459,726777,I,4
53472,901,I,1
53472,781029,I,2
53472,99429,I,3
53472,400142,I,4
53488,305,I,1
53488,4931,I,2
53488,822,I,3
53488,70153,I,4
53580,78,I,1
53580,1847,I,2
53580,2131,I,3
53580,811,I,4
53604,493,I,1
53604,511,I,2
53604,534045,I,3
53604,1827,I,4
53779,52,I,1
53779,1179,I,2
53779,733,I,3
53779,299014,I,4
53925,1637,I,1
53925,198941,I,2
53925,265196,I,3
53925,254041,I,4
53946,75,I,1
53946,545298,I,2
53946,37,I,3
53946,948685,I,4
54047,989,I,1
54047,537,I,2
54047,314,I,3
54047,908919,I,4
54130,603402,I,1
54130,52,I,2
54130,900143,I,3
54130,926919,I,4
54135,69,I,1
54135,1509,I,2
54135,2035,I,3
54135,492444,I,4
54189,1128,I,1
54189,740067,I,2
54189,481030,I,3
54189,187927,I,4
54215,578,I,1
54215,1463,I,2
54215,587256,I,3
54215,1260,I,4
54331,18,I,1
54331,59,I,2
54331,1739,I,3
54331,1452,I,4
54357,590055,I,1
54357,570192,I,2
54357,531279,I,3
54357,613130,I,4
54460,1536,I,1
54460,605270,I,2
54460,434593,I,3
54460,586227,I,4
54698,30,I,1
54698,577,I,2
54698,623658,I,3
54698,1171,I,4
54997,56,I,1
54997,1276,I,2
54997,1453,I,3
54997,1715,I,4
55018,39,I,1
55018,943936,I,2
55018,420923,I,3
55018,714878,I,4
55031,75,I,1
55031,44,I,2
55031,1847,I,3
55031,17,I,4
55184,22,I,1
55184,54,I,2
55184,1050,I,3
55184,728812,I,4
55254,1792,I,1
55254,314867,I,2
55254,641729,I,3
55254,921131,I,4
55256,10,I,1
55256,1976,I,2
55256,863016,I,3
55256,290086,I,4
55277,1539,I,1
55277,58,I,2
55277,1417,I,3
55277,749476,I,4
55471,81,I,1
55471,886,I,2
55471,385757,I,3
55471,160287,I,4
55499,27683,I,1
55499,85038,I,2
55499,1884,I,3
55499,664885,I,4
55601,683831,I,1
55601,704719,I,2
55601,721073,I,3
55601,130952,I,4
55614,81,I,1
55614,1995,I,2
55614,937,I,3
55614,848560,I,4
55630,1536,I,1
55630,867391,I,2
55630,619938,I,3
55630,875362,I,4
55683,641197,I,1
55683,907228,I,2
55683,305,I,3
55683,802325,I,4
55830,385010,I,1
55830,270766,I,2
55830,74367,I,3
55830,255156,I,4
55852,545378,I,1
55852,100171,I,2
55852,205815,I,3
55852,87491,I,4
55895,493,I,1
55895,1665,I,2
55895,1948,I,3
55895,1430,I,4
55913,52,I,1
55913,733598,I,2
55913,762248,I,3
55913,872689,I,4
55928,125,I,1
55928,266,I,2
55928,496866,I,3
55928,936476,I,4
56058,619938,I,1
56058,410968,I,2
56058,412615,I,3
56058,848533,I,4
56059,78,I,1
56059,553349,I,2
56059,473228,I,3
56059,999,I,4
56085,71,I,1
56085,78,I,2
56085,60,I,3
56085,20,I,4
56172,564,I,1
56172,27,I,2
56172,63,I,3
56172,370144,I,4
56193,51,I,1
56193,1859,I,2
56193,528987,I,3
56193,168324,I,4
56197,78,I,1
56197,752813,I,2
56197,9,I,3
56197,20,I,4
56217,71,I,1
56217,78,I,2
56217,587256,I,3
56217,1511,I,4
56218,69,I,1
56218,2131,I,2
56218,1463,I,3
56218,1450,I,4
56412,566948,I,1
56412,68,I,2
56412,366866,I,3
56412,823594,I,4
56592,60,I,1
56592,576345,I,2
56592,653942,I,3
56592,614677,I,4
56663,439344,I,1
56663,714236,I,2
56663,479351,I,3
56663,772480,I,4
56687,12,I,1
56687,1076,I,2
56687,120658,I,3
56687,11741,I,4
56732,683831,I,1
56732,25954,I,2
56732,708048,I,3
56732,62593,I,4
56801,52,I,1
56801,733,I,2
56801,1012,I,3
56801,590452,I,4
56869,1792,I,1
56869,1335,I,2
56869,1788,I,3
56869,687189,I,4
56923,26,I,1
56923,30,I,2
56923,527,I,3
56923,336,I,4
56937,72,I,1
56937,9,I,2
56937,1322,I,3
56937,114386,I,4
57012,634,I,1
57012,1715,I,2
57012,1330,I,3
57012,943978,I,4
57076,125,I,1
57076,1727,I,2
57076,502322,I,3
57076,938,I,4
57091,44,I,1
57091,1128,I,2
57091,1012,I,3
57091,832375,I,4
57345,3,I,1
57345,1588,I,2
57345,681566,I,3
57345,596968,I,4
57358,862026,I,1
57358,85038,I,2
57358,511458,I,3
57358,1884,I,4
57413,57,I,1
57413,634,I,2
57413,1822,I,3
57413,1010,I,4
57546,814862,I,1
57546,1982,I,2
57546,842425,I,3
57546,560076,I,4
57590,1215,I,1
57590,948772,I,2
57590,222627,I,3
57590,447499,I,4
57733,548,I,1
57733,948685,I,2
57733,765102,I,3
57733,1547,I,4
57869,439344,I,1
57869,105475,I,2
57869,320647,I,3
57869,173212,I,4
58135,86,I,1
58135,333518,I,2
58135,301556,I,3
58135,547440,I,4
58150,125,I,1
58150,2085,I,2
58150,303,I,3
58150,247881,I,4
58331,267,I,1
58331,1813,I,2
58331,866835,I,3
58331,424318,I,4
58385,30,I,1
58385,1322,I,2
58385,391361,I,3
58385,405035,I,4
58450,366,I,1
58450,144875,I,2
58450,894636,I,3
58450,584879,I,4
58461,142,I,1
58461,2231,I,2
58461,462367,I,3
58461,525742,I,4
58576,44,I,1
58576,18,I,2
58576,545298,I,3
58576,1257,I,4
58898,176061,I,1
58898,439344,I,2
58898,848667,I,3
58898,92316,I,4
58946,352835,I,1
58946,552483,I,2
58946,754272,I,3
58946,449197,I,4
59113,1725,I,1
59113,1046,I,2
59113,1036,I,3
59113,1768,I,4
59183,71,I,1
59183,277,I,2
59183,2075,I,3
59183,473228,I,4
59229,556399,I,1
59229,590452,I,2
59229,685609,I,3
59229,181305,I,4
59274,125,I,1
59274,28674,I,2
59274,846,I,3
59274,528224,I,4
59319,323,I,1
59319,338210,I,2
59319,230934,I,3
59319,516145,I,4
59550,218849,I,1
59550,700127,I,2
59550,807032,I,3
59550,60002,I,4
59592,901,I,1
59592,439344,I,2
59592,303413,I,3
59592,7631,I,4
59646,366,I,1
59646,376915,I,2
59646,292159,I,3
59646,299014,I,4
59800,125,I,1
59800,805,I,2
59800,148041,I,3
59800,658885,I,4
59825,44,I,1
59825,6890,I,2
59825,603402,I,3
59825,282530,I,4
59885,69,I,1
59885,2145,I,2
59885,141123,I,3
59885,223290,I,4
59968,1842,I,1
59968,911431,I,2
59968,621002,I,3
59968,358076,I,4
60028,638,I,1
60028,559,I,2
60028,1420,I,3
60028,629667,I,4
60107,813463,I,1
60107,487553,I,2
60107,342458,I,3
60107,785108,I,4
60153,1842,I,1
60153,911431,I,2
60153,580886,I,3
60153,3110,I,4
60196,142,I,1
60196,908919,I,2
60196,1812,I,3
60196,321294,I,4
60268,587,I,1
60268,233753,I,2
60268,822034,I,3
60268,532290,I,4
60802,623948,I,1
60802,814162,I,2
60802,111003,I,3
60802,884044,I,4
60827,761,I,1
60827,880521,I,2
60827,472234,I,3
60827,85038,I,4
60862,44,I,1
60862,1511,I,2
60862,752813,I,3
60862,834754,I,4
61107,56,I,1
61107,267,I,2
61107,444321,I,3
61107,271544,I,4
61184,72,I,1
61184,9,I,2
61184,1719,I,3
61184,6800,I,4
61287,1526,I,1
61287,615569,I,2
61287,822842,I,3
61287,102704,I,4
61418,886,I,1
61418,1159,I,2
61418,689488,I,3
61418,432,I,4
61452,57,I,1
61452,634,I,2
61452,266,I,3
61452,80,I,4
61512,56,I,1
61512,1421,I,2
61512,1510,I,3
61512,134201,I,4
61578,1511,I,1
61578,308,I,2
61578,314,I,3
61578,1023,I,4
61619,78,I,1
61619,53,I,2
61619,1001,I,3
61619,392392,I,4
61655,532290,I,1
61655,591,I,2
61655,60023,I,3
61655,732305,I,4
61722,163,I,1
61722,843,I,2
61722,1684,I,3
61722,200122,I,4
61770,56,I,1
61770,545298,I,2
61770,95524,I,3
61770,162283,I,4
61809,86706,I,1
61809,934113,I,2
61809,1234,I,3
61809,829717,I,4
61811,1627,I,1
61811,1768,I,2
61811,643105,I,3
61811,335519,I,4
61847,1536,I,1
61847,875362,I,2
61847,441351,I,3
61847,251177,I,4
61852,365201,I,1
61852,1982,I,2
61852,697515,I,3
61852,718624,I,4
62138,1511,I,1
62138,1141,I,2
62138,943978,I,3
62138,5279,I,4
62407,30,I,1
62407,1215,I,2
62407,111376,I,3
62407,200122,I,4
62467,30,I,1
62467,273,I,2
62467,1077,I,3
62467,956544,I,4
62512,125,I,1
62512,906686,I,2
62512,357240,I,3
62512,848533,I,4
62622,1158,I,1
62622,516972,I,2
62622,843213,I,3
62622,725220,I,4
62687,136789,I,1
62687,603600,I,2
62687,206317,I,3
62687,51281,I,4
62695,529543,I,1
62695,415283,I,2
62695,786891,I,3
62695,3909,I,4
62765,537,I,1
62765,302,I,2
62765,1816,I,3
62765,330150,I,4
63035,78,I,1
63035,418148,I,2
63035,1380,I,3
63035,712731,I,4
63227,564,I,1
63227,31,I,2
63227,164,I,3
63227,145284,I,4
63350,427977,I,1
63350,640621,I,2
63350,362457,I,3
63350,247659,I,4
63442,32,I,1
63442,1522,I,2
63442,1375,I,3
63442,263052,I,4
63462,609216,I,1
63462,698,I,2
63462,790071,I,3
63462,550318,I,4
63518,926013,I,1
63518,1377,I,2
63518,568491,I,3
63518,642675,I,4
63522,1201,I,1
63522,1023,I,2
63522,2106,I,3
63522,85782,I,4
63611,880521,I,1
63611,1884,I,2
63611,299827,I,3
63611,85038,I,4
63678,542146,I,1
63678,654,I,2
63678,320988,I,3
63678,926723,I,4
63688,537,I,1
63688,1159,I,2
63688,121826,I,3
63688,922967,I,4
63759,1884,I,1
63759,880521,I,2
63759,294892,I,3
63759,753062,I,4
63823,5200,I,1
63823,365600,I,2
63823,823592,I,3
63823,6168,I,4
63850,532,I,1
63850,939642,I,2
63850,913264,I,3
63850,634708,I,4
63878,1658,I,1
63878,1341,I,2
63878,2036,I,3
63878,566572,I,4
63929,1037,I,1
63929,92,I,2
63929,416,I,3
63929,1385,I,4
63950,582106,I,1
63950,440487,I,2
63950,415476,I,3
63950,674775,I,4
63951,1345,I,1
63951,568,I,2
63951,818973,I,3
63951,625456,I,4
64040,893341,I,1
64040,582890,I,2
64040,144045,I,3
64040,797531,I,4
64115,56,I,1
64115,602,I,2
64115,1684,I,3
64115,1510,I,4
64116,20,I,1
64116,314,I,2
64116,1012,I,3
64116,1673,I,4
64276,1228,I,1
64276,454,I,2
64276,197,I,3
64276,579234,I,4
64541,103193,I,1
64541,323093,I,2
64541,282001,I,3
64541,674665,I,4
64603,427894,I,1
64603,497891,I,2
64603,866835,I,3
64603,4983,I,4
64612,4462,I,1
64612,264554,I,2
64612,56763,I,3
64612,900004,I,4
64665,163,I,1
64665,685,I,2
64665,587249,I,3
64665,569410,I,4
64757,493872,I,1
64757,1671,I,2
64757,1699,I,3
64757,275213,I,4
64782,1511,I,1
64782,142,I,2
64782,781029,I,3
64782,696193,I,4
64940,693318,I,1
64940,445657,I,2
64940,97034,I,3
64940,709951,I,4
65063,95,I,1
65063,546755,I,2
65063,384787,I,3
65063,404985,I,4
65143,615540,I,1
65143,447648,I,2
65143,758066,I,3
65143,719960,I,4
65207,9,I,1
65207,142,I,2
65207,881829,I,3
65207,943859,I,4
65214,34,I,1
65214,308,I,2
65214,752813,I,3
65214,639529,I,4
65234,598971,I,1
65234,660327,I,2
65234,4462,I,3
65234,673749,I,4
65421,365201,I,1
65421,1247,I,2
65421,1359,I,3
65421,1079,I,4
65528,273,I,1
65528,842,I,2
65528,907,I,3
65528,307316,I,4
65531,1128,I,1
65531,100186,I,2
65531,2231,I,3
65531,598971,I,4
65571,4462,I,1
65571,762248,I,2
65571,608311,I,3
65571,850254,I,4
66026,661,I,1
66026,1285,I,2
66026,643,I,3
66026,1419,I,4
66206,1715,I,1
66206,1500,I,2
66206,950079,I,3
66206,835021,I,4
66434,380,I,1
66434,587,I,2
66434,171824,I,3
66434,574114,I,4
66601,292689,I,1
66601,356998,I,2
66601,280707,I,3
66601,819525,I,4
66626,5279,I,1
66626,822958,I,2
66626,1661,I,3
66626,1783,I,4
66763,4435,I,1
66763,821,I,2
66763,764407,I,3
66763,219946,I,4
66765,92,I,1
66765,1589,I,2
66765,1037,I,3
66765,416,I,4
66831,78,I,1
66831,95524,I,2
