film,oseba,mesto
47478,1536,1
47478,793766,2
47478,875477,3
47478,793616,4
47677,8,1
47677,614500,2
47677,445290,3
47677,1511,4
48021,785771,1
48021,617846,2
48021,544275,3
48021,201009,4
48254,798826,1
48254,437325,2
48254,808600,3
48254,418911,4
48261,576127,1
48261,215260,2
48261,829717,3
48261,379621,4
48280,524853,1
48280,731333,2
48280,498007,3
48280,859892,4
48356,308,1
48356,86198,2
48356,591034,3
48356,162557,4
48424,53,1
48424,1859,2
48424,1273,3
48424,322299,4
48445,534286,1
48445,2108,2
48445,625383,3
48445,339307,4
48452,539047,1
48452,368274,2
48452,503499,3
48452,12994,4
48473,52333,1
48473,52334,2
48473,52343,3
48473,222447,4
48545,15,1
48545,81,2
48545,543,3
48545,822,4
48641,414965,1
48641,196992,2
48641,27683,3
48641,137808,4
48728,26,1
48728,38,2
48728,484829,3
48728,2369,4
48956,348483,1
48956,315871,2
48956,11967,3
48956,51837,4
48960,57,1
48960,134594,2
48960,192958,3
48960,605923,4
49096,1414,1
49096,424318,2
49096,1651,3
49096,1450,4
49314,1078,1
49314,38,2
49314,69,3
49314,2141,4
49406,1330,1
49406,336531,2
49406,250436,3
49406,282435,4
49408,989,1
49408,39,2
49408,1549,3
49408,72578,4
49730,78,1
49730,1374,2
49730,587256,3
49730,955,4
49833,32,1
49833,989,2
49833,879,3
49833,64,4
50083,20,1
50083,2011,2
50083,842,3
50083,275835,4
50105,26,1
50105,39,2
50105,219396,3
50105,666332,4
50371,341431,1
50371,623658,2
50371,290047,3
50371,527,4
50419,30,1
50419,1,2
50419,860373,3
50419,41509,4
50468,44,1
50468,18,2
50468,281766,3
50468,886888,4
50613,1536,1
50613,156928,2
50613,945222,3
50613,793766,4
50658,11,1
50658,30,2
50658,2001,3
50658,569410,4
50766,763,1
50766,192033,2
50766,532277,3
50766,219062,4
50798,570192,1
50798,662240,2
50798,456565,3
50798,948714,4
50825,18,1
50825,576127,2
50825,579663,3
50825,534317,4
50976,1884,1
50976,85038,2
50976,252345,3
50976,691555,4
50986,803705,1
50986,761,2
50986,862026,3
50986,85038,4
51036,44,1
51036,348,2
51036,365893,3
51036,590398,4
51201,61,1
51201,17,2
51201,1452,3
51201,6471,4
51337,558663,1
51337,335497,2
51337,264134,3
51337,857147,4
51378,603402,1
51378,740067,2
51378,693560,3
51378,78112,4
51418,537,1
51418,181080,2
51418,746505,3
51418,398250,4
51554,1088,1
51554,489,2
51554,1284,3
51554,834320,4
51622,373314,1
51622,654433,2
51622,1637,3
51622,3339,4
51658,1989,1
51658,2001,2
51658,431139,3
51658,320006,4
51744,1637,1
51744,645120,2
51744,519160,3
51744,550701,4
52311,32,1
52311,80,2
52311,1463,3
52311,130407,4
52357,71,1
52357,1571,2
52357,895,3
52357,375738,4
52520,785245,1
52520,566389,2
52520,1031805,3
52520,853299,4
52738,674012,1
52738,1859,2
52738,771584,3
52738,937,4
52893,728938,1
52893,645402,2
52893,202072,3
52893,53289,4
52918,1805,1
52918,1260,2
52918,364,3
52918,463435,4
53125,26,1
53125,1693,2
53125,51,3
53125,484829,4
53137,60,1
53137,1257,2
53137,1,3
53137,578,4
53198,529543,1
53198,753716,2
53198,561158,3
53198,213948,4
53285,182250,1
53285,794301,2
53285,41598,3
53285,271658,4
53459,105482,1
53459,885098,2
53459,562831,3
53459,726777,4
53472,901,1
53472,781029,2
53472,99429,3
53472,400142,4
53488,305,1
53488,4931,2
53488,822,3
53488,70153,4
53580,78,1
53580,1847,2
53580,2131,3
53580,811,4
53604,493,1
53604,511,2
53604,534045,3
53604,1827,4
53779,52,1
53779,1179,2
53779,733,3
53779,299014,4
53925,1637,1
53925,198941,2
53925,265196,3
53925,254041,4
53946,75,1
53946,545298,2
53946,37,3
53946,948685,4
54047,989,1
54047,537,2
54047,314,3
54047,908919,4
54130,603402,1
54130,52,2
54130,900143,3
54130,926919,4
54135,69,1
54135,1509,2
54135,2035,3
54135,492444,4
54189,1128,1
54189,740067,2
54189,481030,3
54189,187927,4
54215,578,1
54215,1463,2
54215,587256,3
54215,1260,4
54331,18,1
54331,59,2
54331,1739,3
54331,1452,4
54357,590055,1
54357,570192,2
54357,531279,3
54357,613130,4
54460,1536,1
54460,605270,2
54460,434593,3
54460,586227,4
54698,30,1
54698,577,2
54698,623658,3
54698,1171,4
54997,56,1
54997,1276,2
54997,1453,3
54997,1715,4
55018,39,1
55018,943936,2
55018,420923,3
55018,714878,4
55031,75,1
55031,44,2
55031,1847,3
55031,17,4
55184,22,1
55184,54,2
55184,1050,3
55184,728812,4
55254,1792,1
55254,314867,2
55254,641729,3
55254,921131,4
55256,10,1
55256,1976,2
55256,863016,3
55256,290086,4
55277,1539,1
55277,58,2
55277,1417,3
55277,749476,4
55471,81,1
55471,886,2
55471,385757,3
55471,160287,4
55499,27683,1
55499,85038,2
55499,1884,3
55499,664885,4
55601,683831,1
55601,704719,2
55601,721073,3
55601,130952,4
55614,81,1
55614,1995,2
55614,937,3
55614,848560,4
55630,1536,1
55630,867391,2
55630,619938,3
55630,875362,4
55683,641197,1
55683,907228,2
55683,305,3
55683,802325,4
55830,385010,1
55830,270766,2
55830,74367,3
55830,255156,4
55852,545378,1
55852,100171,2
55852,205815,3
55852,87491,4
55895,493,1
55895,1665,2
55895,1948,3
55895,1430,4
55913,52,1
55913,733598,2
55913,762248,3
55913,872689,4
55928,125,1
55928,266,2
55928,496866,3
55928,936476,4
56058,619938,1
56058,410968,2
56058,412615,3
56058,848533,4
56059,78,1
56059,553349,2
56059,473228,3
56059,999,4
56085,71,1
56085,78,2
56085,60,3
56085,20,4
56172,564,1
56172,27,2
56172,63,3
56172,370144,4
56193,51,1
56193,1859,2
56193,528987,3
56193,168324,4
56197,78,1
56197,752813,2
56197,9,3
56197,20,4
56217,71,1
56217,78,2
56217,587256,3
56217,1511,4
56218,69,1
56218,2131,2
56218,1463,3
56218,1450,4
56412,566948,1
56412,68,2
56412,366866,3
56412,823594,4
56592,60,1
56592,576345,2
56592,653942,3
56592,614677,4
56663,439344,1
56663,714236,2
56663,479351,3
56663,772480,4
56687,12,1
56687,1076,2
56687,120658,3
56687,11741,4
56732,683831,1
56732,25954,2
56732,708048,3
56732,62593,4
56801,52,1
56801,733,2
56801,1012,3
56801,590452,4
56869,1792,1
56869,1335,2
56869,1788,3
56869,687189,4
56923,26,1
56923,30,2
56923,527,3
56923,336,4
56937,72,1
56937,9,2
56937,1322,3
56937,114386,4
57012,634,1
57012,1715,2
57012,1330,3
57012,943978,4
57076,125,1
57076,1727,2
57076,502322,3
57076,938,4
57091,44,1
57091,1128,2
57091,1012,3
57091,832375,4
57345,3,1
57345,1588,2
57345,681566,3
57345,596968,4
57358,862026,1
57358,85038,2
57358,511458,3
57358,1884,4
57413,57,1
57413,634,2
57413,1822,3
57413,1010,4
57546,814862,1
57546,1982,2
57546,842425,3
57546,560076,4
57590,1215,1
57590,948772,2
57590,222627,3
57590,447499,4
57733,548,1
57733,948685,2
57733,765102,3
57733,1547,4
57869,439344,1
57869,105475,2
57869,320647,3
57869,173212,4
58135,86,1
58135,333518,2
58135,301556,3
58135,547440,4
58150,125,1
58150,2085,2
58150,303,3
58150,247881,4
58331,267,1
58331,1813,2
58331,866835,3
58331,424318,4
58385,30,1
58385,1322,2
58385,391361,3
58385,405035,4
58450,366,1
58450,144875,2
58450,894636,3
58450,584879,4
58461,142,1
58461,2231,2
58461,462367,3
58461,525742,4
58576,44,1
58576,18,2
58576,545298,3
58576,1257,4
58898,176061,1
58898,439344,2
58898,848667,3
58898,92316,4
58946,352835,1
58946,552483,2
58946,754272,3
58946,449197,4
59113,1725,1
59113,1046,2
59113,1036,3
59113,1768,4
59183,71,1
59183,277,2
59183,2075,3
59183,473228,4
59229,556399,1
59229,590452,2
59229,685609,3
59229,181305,4
59274,125,1
59274,28674,2
59274,846,3
59274,528224,4
59319,323,1
59319,338210,2
59319,230934,3
59319,516145,4
59550,218849,1
59550,700127,2
59550,807032,3
59550,60002,4
59592,901,1
59592,439344,2
59592,303413,3
59592,7631,4
59646,366,1
59646,376915,2
59646,292159,3
59646,299014,4
59800,125,1
59800,805,2
59800,148041,3
59800,658885,4
59825,44,1
59825,6890,2
59825,603402,3
59825,282530,4
59885,69,1
59885,2145,2
59885,141123,3
59885,223290,4
59968,1842,1
59968,911431,2
59968,621002,3
59968,358076,4
60028,638,1
60028,559,2
60028,1420,3
60028,629667,4
60107,813463,1
60107,487553,2
60107,342458,3
60107,785108,4
60153,1842,1
60153,911431,2
60153,580886,3
60153,3110,4
60196,142,1
60196,908919,2
60196,1812,3
60196,321294,4
60268,587,1
60268,233753,2
60268,822034,3
60268,532290,4
60802,623948,1
60802,814162,2
60802,111003,3
60802,884044,4
60827,761,1
60827,880521,2
60827,472234,3
60827,85038,4
60862,44,1
60862,1511,2
60862,752813,3
60862,834754,4
61107,56,1
61107,267,2
61107,444321,3
61107,271544,4
61184,72,1
61184,9,2
61184,1719,3
61184,6800,4
61287,1526,1
61287,615569,2
61287,822842,3
61287,102704,4
61418,886,1
61418,1159,2
61418,689488,3
61418,432,4
61452,57,1
61452,634,2
61452,266,3
61452,80,4
61512,56,1
61512,1421,2
61512,1510,3
61512,134201,4
61578,1511,1
61578,308,2
61578,314,3
61578,1023,4
61619,78,1
61619,53,2
61619,1001,3
61619,392392,4
61655,532290,1
61655,591,2
61655,60023,3
61655,732305,4
61722,163,1
61722,843,2
61722,1684,3
61722,200122,4
61770,56,1
61770,545298,2
61770,95524,3
61770,162283,4
61809,86706,1
61809,934113,2
61809,1234,3
61809,829717,4
61811,1627,1
61811,1768,2
61811,643105,3
61811,335519,4
61847,1536,1
61847,875362,2
61847,441351,3
61847,251177,4
61852,365201,1
61852,1982,2
61852,697515,3
61852,718624,4
62138,1511,1
62138,1141,2
62138,943978,3
62138,5279,4
62407,30,1
62407,1215,2
62407,111376,3
62407,200122,4
62467,30,1
62467,273,2
62467,1077,3
62467,956544,4
62512,125,1
62512,906686,2
62512,357240,3
62512,848533,4
62622,1158,1
62622,516972,2
62622,843213,3
62622,725220,4
62687,136789,1
62687,603600,2
62687,206317,3
62687,51281,4
62695,529543,1
62695,415283,2
62695,786891,3
62695,3909,4
62765,537,1
62765,302,2
62765,1816,3
62765,330150,4
63035,78,1
63035,418148,2
63035,1380,3
63035,712731,4
63227,564,1
63227,31,2
63227,164,3
63227,145284,4
63350,427977,1
63350,640621,2
63350,362457,3
63350,247659,4
63442,32,1
63442,1522,2
63442,1375,3
63442,263052,4
63462,609216,1
63462,698,2
63462,790071,3
63462,550318,4
63518,926013,1
63518,1377,2
63518,568491,3
63518,642675,4
63522,1201,1
63522,1023,2
63522,2106,3
63522,85782,4
63611,880521,1
63611,1884,2
63611,299827,3
63611,85038,4
63678,542146,1
63678,654,2
63678,320988,3
63678,926723,4
63688,537,1
63688,1159,2
63688,121826,3
63688,922967,4
63759,1884,1
63759,880521,2
63759,294892,3
63759,753062,4
63823,5200,1
63823,365600,2
63823,823592,3
63823,6168,4
63850,532,1
63850,939642,2
63850,913264,3
63850,634708,4
63878,1658,1
63878,1341,2
63878,2036,3
63878,566572,4
63929,1037,1
63929,92,2
63929,416,3
63929,1385,4
63950,582106,1
63950,440487,2
63950,415476,3
63950,674775,4
63951,1345,1
63951,568,2
63951,818973,3
63951,625456,4
64040,893341,1
64040,582890,2
64040,144045,3
64040,797531,4
64115,56,1
64115,602,2
64115,1684,3
64115,1510,4
64116,20,1
64116,314,2
64116,1012,3
64116,1673,4
64276,1228,1
64276,454,2
64276,197,3
64276,579234,4
64541,103193,1
64541,323093,2
64541,282001,3
64541,674665,4
64603,427894,1
64603,497891,2
64603,866835,3
64603,4983,4
64612,4462,1
64612,264554,2
64612,56763,3
64612,900004,4
64665,163,1
64665,685,2
64665,587249,3
64665,569410,4
64757,493872,1
64757,1671,2
64757,1699,3
64757,275213,4
64782,1511,1
64782,142,2
64782,781029,3
64782,696193,4
64940,693318,1
64940,445657,2
64940,97034,3
64940,709951,4
65063,95,1
65063,546755,2
65063,384787,3
65063,404985,4
65143,615540,1
65143,447648,2
65143,758066,3
65143,719960,4
65207,9,1
65207,142,2
65207,881829,3
65207,943859,4
65214,34,1
65214,308,2
65214,752813,3
65214,639529,4
65234,598971,1
65234,660327,2
65234,4462,3
65234,673749,4
65421,365201,1
65421,1247,2
65421,1359,3
65421,1079,4
65528,273,1
65528,842,2
65528,907,3
65528,307316,4
65531,1128,1
65531,100186,2
65531,2231,3
65531,598971,4
65571,4462,1
65571,762248,2
65571,608311,3
65571,850254,4
66026,661,1
66026,1285,2
66026,643,3
66026,1419,4
66206,1715,1
66206,1500,2
66206,950079,3
66206,835021,4
66434,380,1
66434,587,2
66434,171824,3
66434,574114,4
66601,292689,1
66601,356998,2
66601,280707,3
66601,819525,4
66626,5279,1
66626,822958,2
66626,1661,3
66626,1783,4
66763,4435,1
66763,821,2
66763,764407,3
66763,219946,4
66765,92,1
66765,1589,2
66765,1037,3
66765,416,4
66831,78,1
66831,95524,2
66831,58,3
66831,915618,4
66892,197,1
66892,298,2
66892,307316,3
66892,268,4
66921,532,1
66921,535861,2
66921,60988,3
66921,165049,4
66993,603,1
66993,1657,2
66993,840303,3
66993,12451,4
66995,125,1
66995,1762,2
66995,336509,3
66995,939836,4
66999,142,1
66999,732367,2
66999,345340,3
66999,763858,4
67116,432,1
67116,1702,2
67116,721073,3
67116,516215,4
67128,323,1
67128,376915,2
67128,1180,3
67128,651570,4
67185,2106,1
67185,1069,2
67185,681954,3
67185,159258,4
67309,404,1
67309,661,2
67309,162541,3
67309,1702,4
67372,277424,1
67372,768,2
67372,789864,3
67372,63027,4
67411,886,1
67411,1046,2
67411,41281,3
67411,1137,4
67445,1958,1
67445,885123,2
67445,122780,3
67445,723235,4
67525,32,1
67525,1875,2
67525,143614,3
67525,467178,4
67824,45,1
67824,947935,2
67824,862875,3
67824,62531,4
67893,852510,1
67893,643105,2
67893,83401,3
67893,933287,4
67959,256,1
67959,347858,2
67959,736312,3
67959,576851,4
67992,698,1
67992,16776,2
67992,652578,3
67992,455702,4
68098,257,1
68098,737257,2
68098,842794,3
68098,268026,4
68154,1352,1
68154,817881,2
68154,813805,3
68154,850254,4
68182,1428,1
68182,346087,2
68182,737928,3
68182,215683,4
68327,591485,1
68327,1868,2
68327,340926,3
68327,1297,4
68408,1522,1
68408,614916,2
68408,1544,3
68408,874353,4
68473,685,1
68473,608,2
68473,885,3
68473,1074,4
68612,385830,1
68612,502158,2
68612,567315,3
68612,257568,4
68638,537,1
68638,532298,2
68638,424565,3
68638,1783,4
68646,8,1
68646,199,2
68646,1001,3
68646,473,4
68699,142,1
68699,89244,2
68699,384494,3
68699,752751,4
68762,602,1
68762,2095,2
68762,93386,3
68762,16365,4
68767,45,1
68767,583963,2
68767,862875,3
68767,947935,4
68931,314,1
68931,1821,2
68931,943978,3
68931,409866,4
69089,1145,1
69089,516634,2
69089,668976,3
69089,831467,4
69097,95,1
69097,473,2
