id,naslov,leto-zacetek,leto-konec,dolzina,leto,ocena,metascore,glasovi,zasluzek,oznaka,opis
36244,The Ox-Bow Incident,1942,1942,75,1942,8.0,,22434,1635000,,"When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men."
36613,Arsenic and Old Lace,1943,1943,118,1943,8.0,,68912,,,A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
36775,Dvojno zavarovanje,1944,1944,107,1944,8.3,95,150793,5720000,,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
37059,Meet Me in St. Louis,1944,1944,113,1944,7.6,94,22410,7566000,,Young love and childish fears highlight a year in the life of a turn-of-the-century family.
37101,"Murder, My Sweet",1944,1944,95,1944,7.6,,12878,,,"After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit."
37469,Zenska v izlozbi,1944,1944,107,1944,7.7,,15299,,,"A conservative middle aged professor engages in a relationship with a femme fatale, he's plunged into a nightmarish world of blackmail and murder."
37635,Dead of Night,1945,1945,103,1945,7.6,,12045,,,"The guests invited to weekend in the country share their supernatural stories, beginning with Walter Craig , who senses impending doom as his half-remembered recurring dream turns into reality."
37913,Mildred Pierce,1945,1945,111,1945,8.0,88,24580,,,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
37988,The Picture of Dorian Gray,1945,1945,110,1945,7.5,,12728,,,"A corrupt young man somehow keeps his youthful beauty, but a special painting gradually reveals his inner ugliness to all."
38166,Trije kavalirji,1944,1944,71,1944,6.4,85,13430,,,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster)."
38348,La belle et la bête,1946,1946,96,1946,7.9,92,25645,298718,,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
38355,Globoko spanje,1946,1946,114,1946,7.9,,83022,6540000,,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
38559,Gilda,1946,1946,110,1946,7.6,,31084,,,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.
38574,Great Expectations,1946,1946,118,1946,7.8,90,23322,,,"A humble orphan boy in 1810s Kent is given the opportunity to go to London and become a gentleman, with the help of an unknown benefactor."
38650,Cudovito zivljenje,1946,1946,130,1946,8.6,89,424502,,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
38669,The Killers,1946,1946,103,1946,7.8,,20424,,,"Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins."
38762,Moja draga Klementina,1946,1946,97,1946,7.8,,22764,,,"After their cattle are stolen and their brother murdered, the Earp brothers have a score to settle with the Clanton family."
38787,Razvpita,1946,1946,102,1946,8.0,100,97802,10464000,,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
38854,The Postman Always Rings Twice,1946,1946,113,1946,7.5,84,19916,8330000,,"A married woman and a drifter fall in love, then plot to murder her husband."
38890,Roma città aperta,1945,1945,103,1945,8.1,,25271,,,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape."
38969,Song of the South,1946,1946,94,1946,7.1,54,13408,63717040,G,"The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear."
38991,Tujec,1946,1946,95,1946,7.4,76,25612,,,An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.
39192,Black Narcissus,1947,1947,101,1947,7.8,86,23691,,,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
40522,Tatovi koles,1948,1948,89,1948,8.3,,156647,332930,,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
40525,Dama iz Sanghaja,1947,1947,87,1947,7.6,,28929,7927,,"Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot."
40636,The Naked City,1948,1948,96,1948,7.6,74,13040,,,A step-by-step look at a murder investigation on the streets of New York.
40662,Oliver Twist,1948,1948,116,1948,7.8,84,12066,,,"In Charles Dickens' classic tale, an orphan wends his way from cruel apprenticeship to den of thieves in search of a true home."
40724,Red River,1948,1948,133,1948,7.8,,29900,,,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son."
40746,Vrv,1948,1948,80,1948,8.0,73,137004,,,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
40897,Zaklad Sierra Madre,1948,1948,126,1948,8.2,98,120324,5014000,,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
41090,Adamovo rebro,1949,1949,101,1949,7.5,87,20600,,,Domestic and professional tensions mount when a husband and wife work as opposing lawyers in a case involving a woman who shot her husband.
41452,Dedinja,1949,1949,115,1949,8.2,,15113,,,A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.
41959,Tretji človek,1949,1949,104,1949,8.1,97,165939,449191,,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
42041,White Heat,1949,1949,114,1949,8.1,,31680,,,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
42192,Vse o Evi,1950,1950,138,1950,8.2,98,126614,10177,,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
42208,The Asphalt Jungle,1950,1950,112,1950,7.9,,25625,,,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel."
42332,Pepelka,1950,1950,74,1950,7.3,85,152488,85000000,G,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother."
42530,Gun Crazy,1950,1950,87,1950,7.6,74,12827,,,Two disturbed young people release their fascination with guns through a crime spree.
42546,Harvey,1950,1950,104,1950,7.9,,54296,,,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
42593,In a Lonely Place,1950,1950,94,1950,8.0,,29414,,,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
42788,Night and the City,1950,1950,101,1950,7.9,,12880,3600000,,A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.
42876,V gozdu,1950,1950,88,1950,8.2,98,161085,96568,,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
42895,Rio Grande,1950,1950,105,1950,7.1,,15470,,,"A cavalry officer posted on the Rio Grande is confronted with murderous raiding Apaches, a son who's a risk-taking recruit and his wife from whom he has been separated for many years."
43208,Rad imam Lucy,1951,1957,30,1951–1957,8.4,,23423,,,"The wife of a band leader constantly tries to become a star - in spite of her having no talent, and gets herself (along with her best friend) into the funniest predicaments."
43265,The African Queen,1951,1951,105,1951,7.8,91,76302,536118,PG,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
43274,Alice in Wonderland,1951,1951,75,1951,7.4,68,135071,1073014,,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
43278,Amerikanec v Parizu,1951,1951,114,1951,7.2,83,32296,4500000,,Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.
43456,The Day the Earth Stood Still,1951,1951,92,1951,7.7,,79898,,,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets."
44079,Neznanec iz Nord expressa,1951,1951,101,1951,8.0,88,129968,7630000,PG,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
44081,Tramvaj Pozelenje,1951,1951,122,1951,8.0,97,104543,8000000,PG,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
44121,The Thing from Another World,1951,1951,87,1951,7.1,,28758,,,Scientists and American Air Force officials fend off a bloodthirsty alien organism while at a remote arctic outpost.
44706,Točno opoldne,1952,1952,85,1952,8.0,89,101212,9450000,PG,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
44741,Živeti,1952,1952,143,1952,8.3,,74276,55240,,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
45274,Umberto D.,1952,1952,89,1952,8.2,92,24768,74308,,An elderly man and his dog struggle to survive on his government pension in Rome.
45555,The Big Heat,1953,1953,89,1953,7.9,,25467,,,Tough cop Dave Bannion takes on a politically powerful crime syndicate.
45897,Priznam,1953,1953,95,1953,7.3,68,20284,,,"A priest, who comes under suspicion for murder, cannot clear his name without breaking the seal of the confessional."
46183,Peter Pan,1953,1953,77,1953,7.3,76,132908,87404651,G,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
46250,Rimske pocitnice,1953,1953,118,1953,8.0,78,133921,,,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
46359,Stalag 17,1953,1953,120,1953,8.0,84,54264,,,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer."
46478,Legenda o Ugetsu,1953,1953,96,1953,8.2,,22478,11197,,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century."
46672,"20,000 Leagues Under the Sea",1954,1954,127,1954,7.2,83,32452,28200000,,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
46876,Creature from the Black Lagoon,1954,1954,79,1954,7.0,68,28942,1300000,,A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.
46911,Demona,1955,1955,117,1955,8.1,,64268,1090000,,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
46912,Kliči U za umor,1954,1954,105,1954,8.2,75,167827,12562,,A former tennis player tries to arrange his wife's murder after learning of her affair.
47034,Gojira,1954,1954,96,1954,7.6,78,32134,2423423,,"American nuclear weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast."
47296,Na pristaniški obali,1954,1954,108,1954,8.1,91,149250,9600000,,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
47396,Dvoriščno okno,1954,1954,112,1954,8.5,100,468419,36764313,PG,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
47472,Seven Brides for Seven Brothers,1954,1954,102,1954,7.4,75,23812,9403000,,"In 1850 Oregon, when a backwoodsman brings a wife home to his farm, his six brothers decide that they want to get married too."
47478,Sedem samurajev,1954,1954,207,1954,8.6,98,330795,269061,,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
47677,The Wild One,1953,1953,79,1953,6.8,,15608,,,Two rival motorcycle gangs terrorize a small town after one of their leaders is thrown in jail.
48021,Du rififi chez les hommes,1955,1955,118,1955,8.1,97,32835,57226,,"Four men plan a technically perfect crime, but the human element intervenes..."
48254,Ubijalčev poljub,1955,1955,67,1955,6.6,,22942,,,"Ready to catch a train to his hometown, a washed-up boxer tells us about the strange and twisty events that happened to him the past couple of days."
48261,Poljub smrti,1955,1955,106,1955,7.6,,19768,,,"A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit""."
