film,zanr
59229,Comedy
59229,Drama
59229,Fantasy
59274,Drama
59274,War
59319,Thriller
59550,Comedy
59550,Crime
59550,Drama
59592,Crime
59592,Drama
59592,Romance
59646,Drama
59646,Horror
59646,Thriller
59800,Action
59800,Adventure
59800,Thriller
59825,Thriller
59825,War
59885,Action
59885,Adventure
59885,War
59968,Action
59968,Adventure
59968,Comedy
60028,Action
60028,Adventure
60028,Sci-Fi
60107,Biography
60107,Drama
60107,History
60153,Adventure
60153,Comedy
60153,Crime
60196,Western
60268,Comedy
60268,Drama
60268,Thriller
60802,Comedy
60802,Drama
60802,Romance
60827,Drama
60827,Thriller
60862,Action
60862,Adventure
60862,Western
61107,Drama
61107,Romance
61107,Thriller
61184,Drama
61287,Drama
61287,Mystery
61287,Sci-Fi
61418,Action
61418,Biography
61418,Crime
61452,Comedy
61512,Crime
61512,Drama
61578,Action
61578,Adventure
61578,War
61619,Drama
61619,Romance
61619,Western
61655,Comedy
61655,Horror
61722,Comedy
61722,Drama
61722,Romance
61770,Western
61809,Biography
61809,Crime
61809,Drama
61811,Crime
61811,Drama
61811,Mystery
61847,Drama
61852,Adventure
61852,Animation
61852,Comedy
62138,Crime
62138,Drama
62138,Thriller
62407,Comedy
62407,Drama
62407,Romance
62467,Thriller
62512,Action
62512,Adventure
62512,Thriller
62622,Adventure
62622,Sci-Fi
62687,Adventure
62687,Animation
62687,Comedy
62695,Comedy
62695,Drama
62695,Romance
62765,Action
62765,Crime
62765,Thriller
63035,Drama
63035,War
63227,Biography
63227,Drama
63227,History
63350,Horror
63350,Thriller
63442,Adventure
63442,Sci-Fi
63462,Comedy
63462,Music
63518,Drama
63518,Romance
63522,Drama
63522,Horror
63611,Drama
63678,Drama
63678,Mystery
63688,Crime
63688,Drama
63688,Romance
63759,Drama
63759,Horror
63823,Adventure
63823,Animation
63823,Comedy
63850,Crime
63850,Drama
63878,Comedy
63878,Family
63929,Comedy
63950,Adventure
63950,Animation
63950,Comedy
63951,Adventure
63951,Animation
63951,Comedy
64040,Drama
64040,War
64115,Biography
64115,Crime
64115,Drama
64116,Western
64276,Adventure
64276,Drama
64541,Drama
64541,Family
64603,Comedy
64603,Family
64603,Sport
64612,Comedy
64612,Drama
64612,Romance
64665,Drama
64757,Action
64757,Adventure
64757,Thriller
64782,Comedy
64782,Drama
64782,Musical
64940,Drama
64940,Fantasy
64940,History
65063,Comedy
65063,Crime
65143,Horror
65143,Mystery
65143,Thriller
65207,Action
65207,Adventure
65207,War
65214,Action
65214,Adventure
65214,Western
65234,Crime
65234,Drama
65234,History
65421,Adventure
65421,Animation
65421,Comedy
65528,Comedy
65528,Drama
65528,War
65531,Crime
65531,Drama
65531,Thriller
65571,Drama
66026,Comedy
66026,Drama
66026,War
66206,Biography
66206,Drama
66206,War
66434,Drama
66434,Sci-Fi
66434,Thriller
66601,Drama
66626,Comedy
66626,Drama
66763,Drama
66763,Musical
66765,Comedy
66831,Western
66892,Drama
66921,Crime
66921,Drama
66921,Sci-Fi
66993,Biography
66993,Drama
66993,History
66995,Action
66995,Adventure
66995,Thriller
66999,Action
66999,Crime
66999,Thriller
67116,Action
67116,Crime
67116,Drama
67128,Action
67128,Crime
67128,Thriller
67185,Comedy
67185,Drama
67185,Romance
67309,Crime
67309,Mystery
67309,Thriller
67372,Biography
67372,Drama
67372,History
67411,Drama
67411,Western
67445,Drama
67445,Romance
67525,Action
67525,Drama
67525,Sci-Fi
67824,Action
67824,Crime
67824,Drama
67893,Drama
67959,Adventure
